	logFC	logCPM	PValue	FDR
Fam84b	-0.119457342	3.924807916	0.397490997	0.794848741
Slx1b	0.132638032	3.274800474	0.397575267	0.794848741
Rtcb	-0.087543417	7.137776721	0.397705338	0.794848741
Rpusd3	0.151007685	2.708469919	0.397747962	0.794848741
Mrs2	-0.096622878	5.197690705	0.397757061	0.794848741
Dffb	0.108063459	4.660161087	0.397775142	0.794848741
Pus7l	-0.108985442	4.325141307	0.397894001	0.794930473
Ppp2r5c	0.09030708	8.547062787	0.398052771	0.795033449
Mettl10	-0.110876204	4.517533649	0.398192635	0.795033449
Dnaja4	-0.130995998	3.163203521	0.398202028	0.795033449
Bcl6	0.105130386	6.130992272	0.398295159	0.795033449
Pfn2	-0.215714391	0.415524959	0.398335382	0.795033449
Nudt6	0.141961144	2.553338362	0.398455589	0.795117737
Dzip1	0.116835734	4.519673818	0.398568438	0.795187314
Tk2	0.105590866	5.098083269	0.398806256	0.79535046
Rnaseh2a	-0.102769192	4.363502413	0.39882106	0.79535046
Lamtor5	-0.100320447	5.989644723	0.398884206	0.79535046
Cog1	0.09476935	5.934425123	0.399066674	0.795558725
Il21	-0.110363097	7.059057428	0.399273449	0.795805101
Wbp1	0.116921432	4.649867641	0.399348902	0.795805101
Dhx15	-0.096348218	8.22454863	0.399477921	0.795805101
Gltscr1	0.126980199	5.593748585	0.399502433	0.795805101
Vps41	-0.093210178	6.022823983	0.399838193	0.79619274
Prkab2	-0.135024012	3.007254837	0.399930081	0.79619274
Cdkn3	-0.121054813	3.642581589	0.399931275	0.79619274
Dgat1	0.110853921	4.652992965	0.400110617	0.79624891
Spata13	-0.084741409	8.853054748	0.400256742	0.79624891
Tank	-0.09077313	6.006243684	0.400329093	0.79624891
Stk4	-0.089297889	9.333298632	0.40034219	0.79624891
Sptlc1	-0.087436003	6.43769287	0.400430862	0.79624891
Zfp322a	-0.13139421	5.510020053	0.40043324	0.79624891
1700096K18Rik	0.239899848	0.891658206	0.400506096	0.79624891
Dnase1l2	-0.181912609	1.897425359	0.400725052	0.796528919
Zfp748	-0.112448016	4.534535728	0.400931979	0.796784914
Zc3h10	0.113643737	4.768889805	0.40112964	0.797022397
Dnttip1	0.098604637	5.660527934	0.401256239	0.797025593
Aida	-0.087839633	6.657957113	0.401287574	0.797025593
Rpl34	0.093312837	5.828458681	0.401453869	0.797200605
Eif4e	-0.090458616	6.684984387	0.401748651	0.797523568
Spata5	-0.120393161	4.787389928	0.40177293	0.797523568
Chchd4	0.125614826	3.638148937	0.401916553	0.797653384
Ddhd2	-0.108361266	4.670939631	0.402073941	0.797750141
Rnf216	0.095864108	5.751475554	0.402143271	0.797750141
Abca7	0.100251289	7.874586678	0.402200007	0.797750141
Skiv2l	0.090464967	7.391516161	0.40240494	0.798001395
Mblac1	0.240058796	0.170046876	0.402753855	0.798468948
Snap47	0.108564665	4.352623555	0.402866377	0.798468948
Ncoa6	-0.087954601	6.050019124	0.402875624	0.798468948
Cd7	-0.171008458	1.841194318	0.403020715	0.798481783
Ip6k1	0.090969591	7.43244225	0.40310745	0.798481783
Zdhhc13	-0.10902726	4.611886438	0.403117016	0.798481783
Erc1	-0.103181225	4.519621804	0.403242785	0.798575778
Nemf	-0.120027696	6.598965696	0.403545398	0.798696184
Ppih	-0.109372454	5.073848819	0.403702377	0.798696184
Pisd-ps2	0.13479898	3.583906046	0.403708609	0.798696184
Cenpu	-0.155882523	2.36298924	0.403760777	0.798696184
Srrm2	-0.100080612	9.821634333	0.403803031	0.798696184
AU022252	0.136205933	3.023530476	0.403823649	0.798696184
Kcna2	-0.170171034	1.597981722	0.403872735	0.798696184
Cdc25b	0.085531584	8.498871393	0.403941236	0.798696184
Rap1a	-0.098665638	9.040899511	0.404008524	0.798696184
Lzts2	0.209869118	1.986036704	0.4042871	0.798920694
Rhot2	0.095098853	6.858555703	0.404404373	0.798920694
Psmd6	0.087365153	6.473230382	0.404498303	0.798920694
Snx33	0.105270083	4.073633454	0.404540799	0.798920694
Adprm	0.095748598	5.575615256	0.40454294	0.798920694
Wdr46	0.100776508	5.197857454	0.404592181	0.798920694
Zfp84	-0.091429093	5.760519522	0.404690151	0.798959432
Rps14	0.093026461	10.71086647	0.405131069	0.799675089
Oaz2	-0.099153567	5.115851602	0.405220176	0.799696174
Tomm6	0.093054989	5.638353813	0.405313246	0.799725072
Bbs12	-0.138777669	2.514780266	0.405531047	0.7999091
Gm15421	-0.219903542	0.322354895	0.405563405	0.7999091
Eml5	-0.119191777	4.043277137	0.40598917	0.800593998
Dgkg	0.178915837	3.299743141	0.406194644	0.800772705
Uba5	0.0960351	5.37765678	0.406236855	0.800772705
Fxr1	-0.092341414	6.791844193	0.406440712	0.800942696
Relb	0.112581322	5.206929676	0.406483789	0.800942696
Zfp365	0.108413948	4.940435318	0.406558732	0.800942696
Fbxl12	-0.094703286	5.358976563	0.406929176	0.801052521
Mospd1	-0.134063831	3.303366115	0.406966624	0.801052521
Nipal1	-0.114664793	4.395332585	0.406969519	0.801052521
Ccdc77	-0.113613629	3.958498706	0.407013374	0.801052521
Dnajc17	0.121664138	3.784050777	0.407225234	0.801052521
Ggh	-0.164701783	3.07943307	0.407232511	0.801052521
Fbxl17	0.101131636	4.960457027	0.40724685	0.801052521
Capn7	-0.096541897	6.185334986	0.407285433	0.801052521
Msi2	-0.099070315	7.014496376	0.407321499	0.801052521
Ndc1	-0.149693221	3.58040349	0.407590022	0.801426042
Sdad1	-0.087605672	6.346280486	0.408019166	0.801486074
Dbnl	0.088642755	7.820613767	0.408066207	0.801486074
Rap1gds1	-0.083321664	7.605968693	0.408232935	0.801486074
Iqgap2	-0.114286634	6.197498029	0.408327348	0.801486074
Oplah	-0.247857556	-0.005271092	0.408328989	0.801486074
Enc1	-0.122606543	4.214012087	0.408374222	0.801486074
Mphosph8	-0.129106547	5.909020668	0.408434163	0.801486074
Uck1	0.088737433	5.861612954	0.40848693	0.801486074
Mcoln3	-0.155145261	2.643316886	0.408510219	0.801486074
Dse	-0.173184083	2.140236746	0.408516065	0.801486074
Rnf114	0.08194058	8.744404207	0.4086355	0.801486074
1700017B05Rik	-0.107394499	5.721294059	0.408658142	0.801486074
Aars2	0.124008159	3.912872785	0.408758799	0.801486074
Ints5	0.097138292	5.561102907	0.408762779	0.801486074
Ltb4r1	0.240765755	2.282113773	0.408799556	0.801486074
D130040H23Rik	-0.154794925	1.991010156	0.40888975	0.8015088
Birc2	-0.117402426	5.999775633	0.40920243	0.801727175
Mif4gd	0.092465932	5.898955147	0.409264927	0.801727175
Btbd9	0.099694801	4.838442304	0.409334221	0.801727175
Fkbp5	-0.105751952	7.489606448	0.409383265	0.801727175
Dusp6	0.088133196	6.057889399	0.409466278	0.801727175
Mboat7	0.104637289	5.88203697	0.409472897	0.801727175
Airn	-0.244292997	0.167219327	0.409646662	0.801819813
Oas1b	0.101132571	5.841384308	0.409737069	0.801819813
2610001J05Rik	-0.092877465	5.173019354	0.409789532	0.801819813
Ube4b	-0.089506262	6.900698184	0.41007167	0.801819813
Zfp963	-0.144867919	2.51857353	0.410085598	0.801819813
Cd160	0.109976084	4.951228361	0.410124557	0.801819813
Sh3pxd2a	-0.102213379	4.568754529	0.410155833	0.801819813
Zfp783	0.158174486	2.670310375	0.410240306	0.801819813
Tfeb	0.114245378	3.936287398	0.410257184	0.801819813
Tbc1d32	-0.179582656	1.677783256	0.410356691	0.801819813
Zbtb25	0.10016106	4.603846618	0.410385173	0.801819813
Stk40	0.108507489	6.121691103	0.410607253	0.80189652
Cep57l1	-0.105927839	3.938149345	0.410651224	0.80189652
Gclc	-0.090924547	5.3630948	0.410660354	0.80189652
Gbas	0.103783075	4.753749087	0.410914292	0.802238759
Rhobtb2	0.090208081	5.729326737	0.410997254	0.802247128
Trim12a	0.084053376	6.8249208	0.411179669	0.802378323
D8Ertd82e	0.123691585	5.827476728	0.411260584	0.802378323
Usp19	0.090371508	7.738524637	0.411300529	0.802378323
Zfp59	-0.126317659	2.900228506	0.411433945	0.802387428
Asb1	-0.104578111	4.698942444	0.411466992	0.802387428
Cnot3	0.093386189	6.632462399	0.411541262	0.802387428
Ccz1	-0.087485891	5.967300977	0.411679939	0.802449175
Tprkb	0.099492261	5.377533569	0.411730321	0.802449175
Map3k13	-0.226834857	0.460969639	0.411909296	0.802564395
Tmem5	0.128179518	2.832118476	0.412167138	0.802564395
Ppp6r2	0.096765174	5.735833987	0.412203695	0.802564395
Szrd1	-0.085504132	7.635911116	0.412247436	0.802564395
9230116N13Rik	0.224272855	0.165978636	0.412286774	0.802564395
Smad3	0.092039326	6.370958232	0.412479318	0.802564395
Icos	-0.082740998	9.80668068	0.412616852	0.802564395
Hace1	-0.119153813	4.847585884	0.412620292	0.802564395
Olfr56	-0.205971248	0.997104637	0.412766796	0.802564395
Abhd13	-0.090957951	5.75209343	0.412781743	0.802564395
Taf5l	0.090612671	6.220504614	0.41280257	0.802564395
Galnt6	0.087070287	7.817284181	0.412866594	0.802564395
H2-Ob	-0.140965147	3.418980974	0.412874907	0.802564395
Bbip1	0.095207372	5.234431675	0.412891323	0.802564395
Rhbdd1	0.097687395	4.704103088	0.41308968	0.802735784
Dnmt3b	-0.115446055	3.828821203	0.413136941	0.802735784
Mfhas1	0.086436815	6.43027662	0.413388079	0.802761748
Zfand2a	-0.100594794	4.513075329	0.413530497	0.802761748
Gnpda2	-0.116928538	4.731100995	0.413642906	0.802761748
D16Ertd472e	-0.113790271	6.467094719	0.413652512	0.802761748
Odc1	-0.088370655	6.885789503	0.413682289	0.802761748
Zbtb38	-0.088892175	5.641814696	0.413800994	0.802761748
Wdr7	-0.094574949	5.326173109	0.413869174	0.802761748
Zkscan5	-0.126227376	3.060545841	0.413938548	0.802761748
Kifc1	-0.110206938	5.533721157	0.413942757	0.802761748
Cdnf	0.213702895	0.278789238	0.413985627	0.802761748
Plgrkt	0.093524567	5.730624021	0.414051042	0.802761748
Fem1a	0.091215562	6.166143261	0.414095008	0.802761748
Dhdds	-0.090208232	5.548666582	0.414286387	0.802836111
Exoc6	-0.096616673	5.605308841	0.41443739	0.802836111
Dnajb12	0.101215159	4.972082741	0.414483887	0.802836111
Cdk5rap2	-0.106544986	5.180991313	0.414559538	0.802836111
Galk1	0.12646616	3.395530816	0.414764441	0.802836111
Entpd6	0.09729259	5.193740567	0.414847553	0.802836111
Lrp8	-0.127747245	3.620831956	0.414964503	0.802836111
Pes1	0.083983964	6.582965785	0.415008945	0.802836111
Ccdc173	-0.184675299	1.661819416	0.415071809	0.802836111
Hcfc1	-0.082677255	8.535183071	0.415194714	0.802836111
Med13l	-0.082308473	6.782563423	0.415212708	0.802836111
Pramef8	-0.096381328	5.416006591	0.41531112	0.802836111
Utp15	-0.093321712	5.33881643	0.415417796	0.802836111
Nup54	-0.096151752	5.440387347	0.415451112	0.802836111
Ccdc137	0.100556182	4.689685863	0.41545273	0.802836111
Cela1	-0.154658251	2.005701952	0.415481615	0.802836111
Uhrf1bp1	-0.136637715	2.323939521	0.415481745	0.802836111
Kpna2	-0.117477562	7.08158502	0.415550553	0.802836111
Rab27a	-0.090192955	7.957051411	0.415829115	0.803222103
Tspan13	-0.086664777	7.117189153	0.416429497	0.803537515
Tma7	0.082119152	7.717435652	0.416474683	0.803537515
Elp6	0.122991259	3.468904131	0.416484697	0.803537515
Ift43	0.255276776	0.172530713	0.416506427	0.803537515
Cnbd2	-0.171224929	1.201711586	0.416596251	0.803537515
Ppp4c	0.081993248	7.929662972	0.416743697	0.803537515
Orai3	0.119631357	4.447026442	0.416758709	0.803537515
Psmb3	0.088649389	7.318086689	0.416805823	0.803537515
Zeb1	-0.092715568	5.590599737	0.416824284	0.803537515
Fbxo9	0.09407983	5.048671395	0.416900698	0.803537515
Aurkb	-0.128155579	5.466103212	0.416929011	0.803537515
Prcc	0.086861286	5.935169991	0.41693802	0.803537515
St3gal4	-0.114921143	4.588914762	0.417294831	0.803647668
Mospd3	0.110686552	5.580772256	0.417315738	0.803647668
Lrmp	0.082647694	8.703509745	0.417387002	0.803647668
Polh	-0.10157551	5.206594448	0.417495819	0.803647668
Gucy2e	-0.216234398	1.067582784	0.417558433	0.803647668
Miip	-0.116803942	5.204123668	0.417661743	0.803647668
Igbp1	0.08131938	6.596270221	0.417669159	0.803647668
Ctsc	-0.095491614	6.959930407	0.417771504	0.803647668
Mdm1	-0.130063807	3.867521682	0.417782211	0.803647668
Sgpp1	-0.108969545	5.70642956	0.417942075	0.803647668
Sumo1	-0.099834523	7.487873355	0.417980736	0.803647668
Slc2a9	0.138232568	3.25926943	0.418058817	0.803647668
Tbc1d15	-0.124956258	6.137721364	0.418084185	0.803647668
Pskh1	0.106961084	4.514834058	0.418098547	0.803647668
Daglb	0.122176346	3.114248536	0.418552283	0.804368192
Pgd	0.083662553	7.376191638	0.418721655	0.804473574
Rab11b	0.088292683	7.47249465	0.418980158	0.804473574
Nthl1	-0.225046844	0.307812002	0.419113199	0.804473574
Arhgap26	0.0854203	6.187924219	0.419128843	0.804473574
Klf6	-0.094499347	6.50843116	0.419155502	0.804473574
Katnb1	0.117570949	4.89431268	0.419171296	0.804473574
Kctd3	-0.09601034	4.542449505	0.419276051	0.804473574
Surf6	0.090408532	5.65365696	0.419283199	0.804473574
Ndor1	0.093368284	6.044177737	0.419372784	0.804473574
Nckap5l	0.162249332	3.986177181	0.41939605	0.804473574
Ufc1	0.087669462	6.264996865	0.419606074	0.804576978
Efcab14	-0.088508867	5.805105588	0.419607764	0.804576978
Xlr3b	0.32517896	1.918989373	0.419904358	0.804752117
Edc3	0.085139905	6.049700218	0.419955709	0.804752117
Pabpn1	0.083565931	8.012180737	0.42016066	0.804752117
N4bp3	0.169565399	2.249113798	0.420171223	0.804752117
Bzw2	0.086896609	6.412246796	0.420291781	0.804752117
Rnf187	0.093935238	7.133231699	0.420308335	0.804752117
Arrdc1	0.101130271	6.366769103	0.420345141	0.804752117
Denr	-0.094954969	6.274659219	0.420453203	0.804752117
Mpg	0.126014189	3.923910824	0.420534754	0.804752117
Mau2	0.086936531	7.155394133	0.420694919	0.804752117
Ak6	-0.117694902	4.562245511	0.4207013	0.804752117
Eif4g2	-0.094430515	9.988380559	0.420740612	0.804752117
Map2k1	0.079898768	6.578980326	0.420810244	0.804752117
Puf60	0.093721698	7.344994867	0.420877739	0.804752117
Ttc7b	0.101425971	4.568047594	0.420921621	0.804752117
Sec23ip	-0.08028105	6.589048305	0.420996773	0.804752117
Fam105a	0.081355573	7.19468632	0.42104111	0.804752117
Cstf2t	-0.094010438	5.886523518	0.421119672	0.804752117
Cep170b	0.135124482	3.690383572	0.421420933	0.805176927
Usp33	-0.098057208	5.869189596	0.421608191	0.8053838
Il1rap	-0.124449946	4.298020229	0.421869507	0.805732041
Med27	0.103503102	4.144867501	0.422111563	0.805899373
Gimap8	-0.104739585	9.224034047	0.422115186	0.805899373
Arid4b	-0.114696475	6.927052209	0.422357113	0.805938781
Zfp275	-0.097476097	5.28887324	0.42236105	0.805938781
Psip1	-0.124755374	7.841636101	0.422372937	0.805938781
Pcnp	-0.091618465	7.600892127	0.422488957	0.806009334
Pdlim1	0.197210452	5.792421334	0.422699634	0.806123437
Mbip	-0.138186965	3.87964443	0.422706877	0.806123437
Ywhaz	-0.08735769	10.10368035	0.422818423	0.806185389
Brf1	0.086184345	6.093727628	0.423232374	0.806728803
Txlng	-0.106887281	5.567638338	0.423289148	0.806728803
2410015M20Rik	0.102503293	5.625326233	0.42334077	0.806728803
Eri3	0.120192781	3.582157397	0.423488307	0.806766101
Zfp128	0.163189185	1.64602984	0.423518578	0.806766101
2410089E03Rik	-0.097770217	5.497952689	0.42396577	0.807467119
Ptpre	-0.095656586	5.221586319	0.424271315	0.80786289
Zpbp2	0.156781655	1.468117303	0.424332023	0.80786289
Thoc5	0.087088452	6.04029062	0.424474442	0.807983178
Dhodh	0.118384856	3.317958288	0.424577434	0.808028387
Atp6v0d1	0.089744486	6.033875774	0.424760489	0.80822592
Cstf3	-0.100279341	6.01109034	0.424858991	0.808262524
Ficd	0.147816959	3.139740662	0.42519535	0.808335168
Pxk	-0.085016266	5.940730664	0.425253039	0.808335168
Unc50	-0.099070767	4.787494627	0.425259831	0.808335168
Tmem107	0.228217688	0.621747065	0.425278316	0.808335168
Gpr55	-0.122766041	5.392319132	0.425293535	0.808335168
Arid3a	-0.090357391	5.47416939	0.42551742	0.808609976
Psma5	-0.1053553	6.931233417	0.425745015	0.808782437
Zan	0.098944041	6.186774817	0.425766806	0.808782437
Mettl5	-0.18141144	3.052975389	0.426098719	0.809161668
Dynll2	-0.099487564	7.027513491	0.42612515	0.809161668
Pgm3	-0.113894309	3.887910797	0.42649244	0.80949584
E130307A14Rik	-0.180493708	1.311679638	0.426509254	0.80949584
Supt3	0.105126598	3.789140948	0.426589038	0.80949584
Nfyc	0.085875988	5.761359953	0.426694247	0.80949584
Cfl1	0.083797878	10.91385179	0.426781704	0.80949584
Ier3ip1	-0.10425089	5.175591874	0.426824794	0.80949584
Rasal1	0.107119093	4.772156679	0.426856833	0.80949584
Sfmbt2	-0.127337964	2.67943907	0.427184681	0.809849513
Kcnk6	-0.159545118	1.994754911	0.427243062	0.809849513
Wdr35	-0.187472272	1.206808923	0.427371296	0.809849513
Thnsl1	0.179832523	1.390039256	0.427439529	0.809849513
Fopnl	-0.100515761	5.19432594	0.427557022	0.809849513
Zdhhc18	0.084469622	8.08061475	0.42756306	0.809849513
Hint3	0.108723782	3.754410912	0.427599272	0.809849513
Polr2b	-0.083799466	6.696705581	0.427858484	0.810189966
B4galnt1	0.115767113	8.514525478	0.427996983	0.810301751
Cyp39a1	-0.207550065	0.317354797	0.428077518	0.810303778
Fam216a	0.124583689	4.258991227	0.428574848	0.810721417
07-Sep	-0.12042936	9.23742139	0.428628726	0.810721417
Matk	0.15774026	5.106181137	0.428636547	0.810721417
Gbp2	-0.07825998	6.596882247	0.428659315	0.810721417
Ebag9	-0.114566811	4.876437028	0.428695683	0.810721417
Abt1	0.105322882	4.243425468	0.428820846	0.810807745
Sh3d19	-0.153704994	2.089749925	0.42896103	0.810816614
Dcaf6	-0.104791265	4.03516056	0.429046436	0.810816614
Dohh	0.104342047	4.567562291	0.429064082	0.810816614
Ift122	0.182135524	1.50576966	0.429252321	0.810892038
H2-T10	0.087706762	6.103445478	0.429295021	0.810892038
Pafah1b2	-0.094296487	6.617281995	0.42938662	0.810892038
Stt3a	-0.087789913	7.491863089	0.429422086	0.810892038
Hmgb1	-0.100497845	9.474371475	0.429671516	0.811034515
Klhl2	-0.10599902	4.701257716	0.429839412	0.811034515
Ifi203	-0.112104172	9.229572017	0.429952959	0.811034515
Mtcp1	-0.119187257	3.161968566	0.430010216	0.811034515
Slc2a3	-0.099101985	4.468461839	0.430127013	0.811034515
AA414768	-0.121624403	3.469602117	0.430197017	0.811034515
Slc39a11	0.121587116	3.792091039	0.430248091	0.811034515
Ptpn11	-0.08232326	8.256941317	0.430306862	0.811034515
Pfkm	0.118263827	3.592115773	0.430334945	0.811034515
Neil1	0.106272201	3.807195393	0.430362861	0.811034515
Zadh2	0.090136057	5.332383161	0.430581012	0.811034515
Mir6999	-0.216420944	0.105716107	0.430616419	0.811034515
Ppp2r3c	-0.093835728	5.351341256	0.430629507	0.811034515
Rufy1	0.095242406	4.571266743	0.430660201	0.811034515
Stat6	0.08102017	7.81098412	0.430690586	0.811034515
Il21r	0.09437653	7.544531134	0.430785546	0.811063554
Cd84	-0.089583543	7.705617591	0.43091194	0.811076866
Ap1m1	0.079924407	6.868233097	0.430985948	0.811076866
Tmem14c	0.081447439	6.786382921	0.431111037	0.811076866
Laptm5	0.106297998	10.63474087	0.431513831	0.811076866
Ppp1r35	0.093828328	4.971668939	0.431520357	0.811076866
Rad9a	0.092071995	5.835163003	0.43154143	0.811076866
Lrr1	-0.156035908	2.492186106	0.431568082	0.811076866
Ctso	-0.088968194	5.468007405	0.431604347	0.811076866
Gm10640	-0.220660086	0.588202307	0.431632595	0.811076866
Med23	-0.085182571	5.474807826	0.43169419	0.811076866
Smarcc2	-0.079421402	7.470101365	0.431827708	0.811076866
Ccdc30	0.21670654	0.624400123	0.432130705	0.811076866
Plk3	0.094081	6.289418852	0.432200601	0.811076866
Aftph	-0.091161044	7.104741815	0.432277445	0.811076866
Cd2	0.078785839	8.831491888	0.432289028	0.811076866
Slc39a2	0.22404465	0.126538561	0.432313308	0.811076866
Zfp287	-0.106036042	3.779483053	0.432426866	0.811076866
Mark4	0.115770428	4.936633012	0.43243615	0.811076866
Lyrm5	-0.136511999	3.510049783	0.432437946	0.811076866
Tbc1d9b	0.102719913	6.17289621	0.432642886	0.811076866
Arhgef1	0.092303431	10.05905119	0.432646269	0.811076866
Prkacb	-0.084822778	7.908799603	0.432724382	0.811076866
Gm1976	-0.218171117	0.458973828	0.432808274	0.811076866
Rwdd1	0.087163841	5.787675998	0.432813195	0.811076866
Extl2	-0.1468904	2.810057791	0.432904353	0.811076866
Stx12	-0.092206364	4.9725012	0.433002128	0.811076866
AI182371	-0.200925447	0.665661873	0.433053905	0.811076866
Tlk2	-0.084884709	5.962691661	0.433094326	0.811076866
Eml3	0.080591618	7.137564301	0.433104336	0.811076866
Nicn1	-0.213883851	0.172726102	0.433250395	0.811076866
Sult2b1	-0.213330099	0.243949409	0.433258379	0.811076866
Zfp598	0.095391376	5.996333006	0.433446581	0.811131301
Stxbp2	0.080570169	7.479444044	0.433497195	0.811131301
Nudt15	0.117182086	3.174154199	0.433571062	0.811131301
Rpap3	0.098135895	5.068542648	0.433664846	0.811131301
Trim30a	-0.09640287	9.632186989	0.433685187	0.811131301
Bag3	0.178106977	2.828463575	0.433864823	0.811182593
Imp4	0.09217843	6.01690523	0.433871714	0.811182593
Ppt2	0.098867673	4.215585681	0.434181746	0.811332302
Pde1b	0.118226512	4.219282521	0.434254272	0.811332302
Crebzf	-0.079077612	6.335458635	0.434255784	0.811332302
Eif3a	-0.097570009	9.311792502	0.434340806	0.811332302
Gm614	-0.131506647	2.983080382	0.434349616	0.811332302
Acad12	-0.236593658	0.279137791	0.434489812	0.811346056
Fam96b	0.099508099	5.113619167	0.43451657	0.811346056
Zfp646	0.087795079	7.148949923	0.43464626	0.811346056
Stk11ip	0.096817695	5.319797513	0.434675248	0.811346056
Kdm1b	-0.088328439	5.698741774	0.434756421	0.811349052
Repin1	0.141927589	3.099080258	0.434865612	0.811404327
Polg	0.084069372	6.740867173	0.435175154	0.811746018
Cmc1	0.101829884	4.590732595	0.435207951	0.811746018
Wbscr16	0.110426142	4.067888581	0.435343471	0.811850287
Dctn1	0.088175685	6.747591835	0.435569925	0.812124068
Kptn	0.10325632	4.458208208	0.435915509	0.812619825
Zfp943	-0.134844651	4.427646668	0.436013746	0.81265439
Ube3b	0.086628502	6.829794022	0.436239144	0.812693884
Atp1b3	0.07914196	9.171000486	0.436309627	0.812693884
Commd8	-0.097187885	6.504931834	0.436368276	0.812693884
Deb1	0.124219856	2.68021837	0.436411512	0.812693884
Eral1	0.099761115	4.248794318	0.436433432	0.812693884
Crip2	0.174830455	0.972430962	0.436774582	0.813177291
Tlcd2	0.17826824	1.320399991	0.436908167	0.813177291
Hsdl2	-0.096324286	5.344000914	0.43701183	0.813177291
Fez2	0.103259565	4.221299512	0.437154053	0.813177291
Utp18	-0.110216683	5.751751821	0.437165074	0.813177291
Hars2	-0.103457722	5.643720049	0.437198072	0.813177291
Polr3b	-0.081650187	6.150991421	0.437251259	0.813177291
Mrto4	0.102356538	4.664043615	0.437601087	0.813679482
Gemin2	-0.113216839	3.945153291	0.437722772	0.813757358
Esf1	-0.148584092	5.604482923	0.437846015	0.8138381
Tmem106a	0.105879618	4.031519214	0.437935628	0.813856316
Nceh1	-0.097366049	4.321970029	0.438237807	0.813968878
Fyttd1	-0.128852917	5.488508225	0.438399355	0.813968878
Yif1b	0.122226305	3.933887442	0.438420888	0.813968878
Plekha5	0.089486194	5.295235087	0.438645024	0.813968878
AI837181	0.123665882	6.042405921	0.438665411	0.813968878
Rpia	-0.10027815	5.528317801	0.43872959	0.813968878
Eya3	0.079702384	6.099053979	0.438762985	0.813968878
Kif5b	-0.094641553	8.154944606	0.438816356	0.813968878
Ccdc88b	0.087336538	8.171731228	0.438868574	0.813968878
Zfp867	0.148270738	1.712865517	0.438987965	0.813968878
Cbx7	0.105576711	6.077360318	0.43912549	0.813968878
Zfp574	0.118188123	4.778813824	0.439148615	0.813968878
Hspa1a	0.19135027	1.282787909	0.439283456	0.813968878
D2hgdh	-0.092997237	5.183628578	0.439446362	0.813968878
Incenp	-0.093866305	7.318668893	0.439556759	0.813968878
Cdc123	-0.088095806	6.414560327	0.439621241	0.813968878
Cdan1	-0.084220959	5.708206278	0.439810858	0.813968878
Arl4d	-0.157899282	2.474450345	0.439836974	0.813968878
Nit2	0.096514438	4.477652744	0.439891372	0.813968878
Mvp	0.084219359	5.987277949	0.439949387	0.813968878
Ints6	-0.083391934	5.872146765	0.439993767	0.813968878
Spen	-0.088582901	7.015494819	0.440041584	0.813968878
Papss1	-0.092318999	4.893056027	0.44011032	0.813968878
Mast3	0.098050191	7.113152899	0.440167843	0.813968878
Bcas1	-0.219420272	0.32078106	0.440207066	0.813968878
Ehmt2	0.088056919	7.882496482	0.440239791	0.813968878
Srp68	0.084242723	6.99727306	0.44027683	0.813968878
Tmc4	0.127633521	2.970430901	0.440277944	0.813968878
Actr5	0.094693174	4.954201454	0.440378089	0.813968878
Arcn1	-0.082337791	8.034835279	0.440390928	0.813968878
Rac1	0.077902898	8.398862201	0.440471542	0.813970337
1700052K11Rik	0.14074203	2.462069292	0.440646558	0.814052162
Atp9b	0.088927792	6.856935786	0.440814364	0.814052162
Rfng	0.101614245	4.423780806	0.440858936	0.814052162
Fntb	0.105785868	4.339091597	0.44090598	0.814052162
Ddx23	0.085608221	7.516260118	0.440914984	0.814052162
Trim12c	-0.103716275	8.221985274	0.441048677	0.814059213
Cd3d	0.080437504	9.235759241	0.441078469	0.814059213
Exosc9	-0.118742201	5.121767776	0.441164652	0.814070929
Orc3	-0.095003513	5.933632942	0.44137274	0.814283647
Trim46	-0.139888222	1.809299323	0.441439639	0.814283647
Srrd	0.121421447	3.550449116	0.441561371	0.814360878
U2af2	0.085700604	8.473955881	0.441816654	0.814611524
Pms1	-0.112198536	4.090917397	0.441863798	0.814611524
Gnas	0.090933542	8.875916168	0.441978386	0.814611524
Slc9a9	0.128913619	5.353298759	0.442151486	0.814611524
Rrp9	0.099099807	4.640746746	0.442234988	0.814611524
Morc2a	-0.083732678	6.152542616	0.442315112	0.814611524
Ap1g1	-0.080687519	7.160357426	0.442324112	0.814611524
R3hdm4	0.08408681	6.65875066	0.442336374	0.814611524
Daxx	0.078568295	8.151157628	0.442447003	0.814668127
Cox17	0.093503328	5.791036339	0.442706336	0.814813307
Yy2	-0.121025935	3.420137563	0.44283135	0.814813307
Slc15a3	-0.149729004	2.324880605	0.44284276	0.814813307
Zkscan1	-0.094632977	5.379598657	0.442864352	0.814813307
Cep68	-0.088961769	5.497582521	0.442925386	0.814813307
Upf1	0.089076936	7.769651505	0.443101199	0.814989492
Pibf1	-0.127551232	3.180376353	0.443181008	0.814989492
Prkrir	-0.091328973	6.005353401	0.443345668	0.815145289
Atpaf2	0.094625647	4.889151108	0.443539481	0.815354622
Rbm12b1	-0.126926326	3.87803026	0.443671711	0.815442475
Smim15	-0.097084826	6.423719086	0.443747209	0.815442475
Tmem163	-0.187907934	1.615395669	0.444019642	0.815683258
Arid1b	0.085058184	6.383357663	0.444083295	0.815683258
Elac2	0.089892756	5.283387038	0.444118216	0.815683258
Mlx	0.077047216	6.355429604	0.444304335	0.815767831
Fbxw9	0.180666919	1.786974156	0.444518321	0.815767831
